Link Record ID#,Campaign Type,Campaign - Initiative - Page Name,Campaign  Name - Look up,Campaign Name,Link URL,Link Domain,Original URL,Page Rank - URL,Page Rank - Domain,Anchor Text,Anchor Text Type,Inbound URL,Inbound URL Type,Link Location,Date Reported,Date T1 Sent,Link Type,Customer Name,Related Campaign,ULD,Campaign - Initiative Record ID# - Marketing Project - Page Type,Campaign - Email Marketing Actual Send Out Date
6174,RMI,Disability Benefit Guide,TSD_DisabiltiesCalc_A,TSD_DisabiltiesCalc_A,http://staging.childhealthdata.org/help/resources,http://staging.childhealthdata.org,http://www.cahmi.org,0,0,The Simple Dollar Disability Benefits Guide,Partial,thesimpledollar.com/disability-benefits-guide,Internal,Middle,08-05-2016,02-03-2016,Misc,TheSimpleDollar.com,4850,Y,TSD Volume,06-16-2016
6175,RMI,Disability Benefit Guide,TSD_DisabiltiesCalc_A,TSD_DisabiltiesCalc_A,http://pathways2independence.com/resources/helpful-links/,http://pathways2independence.com/,http://pathways2independence.com/resources/helpful-links/,0,0,Social Security Disability Benefits Guide,Partial,http://www.thesimpledollar.com/disability-benefits-guide/,Internal,Middle,08-05-2016,02-03-2016,Misc,TheSimpleDollar.com,4850,Y,TSD Volume,06-16-2016
6176,RMI,Disability Benefit Guide,TSD_DisabiltiesCalc_C_S39FB,TSD_DisabiltiesCalc_C_S39FB,http://thearcccr.org/resources/did-you-know,http://thearcccr.org,http://www.thearcccr.org/learn/learn_links.htm,0,0,Social Security Disability Guide,Misc,thesimpledollar.com/disability-benefits-guide,Internal,Bottom,08-05-2016,06-30-2016,Organization,TheSimpleDollar.com,4877,Y,TSD Volume,06-30-2016
6177,RMI,Free Checking Accounts,RMI_CityTeenMom_CheckingV2_RH_TSD,RMI_CityTeenMom_CheckingV2_RH_TSD,http://www.girlsinccentral-al.org/what-we-do/resources.html,http:// www.girlsinccentral-al.org,,0,0,The Simple Dollar,Exact,thesimpledollar.com/free-checking-account/,Internal,Middle,08-08-2016,06-24-2016,Organization,TheSimpleDollar.com,4833,y,TSD High Value,06-24-2016
6178,RMI,Disability Benefit Guide,TSD_DisabiltiesCalc_E_S39FB,TSD_DisabiltiesCalc_E_S39FB,http://www.ozafamilycare.com/LinksResources.en.html,http://www.ozafamilycare.com/,http://www.ozafamilycare.com/linksresources.en.html,0,0,Social Security Disability Benefit Calculator,misc,http://www.thesimpledollar.com/disability-benefits-guide/#social-security-disability-benefit-calculator,Internal,Middle,08-08-2016,07-22-2016,Misc,TheSimpleDollar.com,4948,y,TSD Volume,07-22-2016
6179,RMI,Disability Benefit Guide,TSD_DisabiltiesCalc_A,TSD_DisabiltiesCalc_A,http://www.mtmsi.org/links.html,http://www.mtmsi.org,http://gacoco.org/toolsforlife_skgp.html,0,0,Social Security Disability Benefits Guide,misc,http://www.thesimpledollar.com/disability-benefits-guide/#social-security-disability-benefit-calculator,Internal,Bottom,08-08-2016,06-17-2016,Organization,TheSimpleDollar.com,4850,y,TSD Volume,06-16-2016
6180,RMI,Disability Benefit Guide,TSD_DisabiltiesCalc_A,TSD_DisabiltiesCalc_A,http://www.mtmsi.org/links.html,http://www.mtmsi.org,http://gacoco.org/toolsforlife_skgp.html,0,0,Social Security Disability Benefit Calculator,misc,http://www.thesimpledollar.com/disability-benefits-guide/#social-security-disability-benefit-calculator,Internal,Bottom,08-08-2016,06-17-2016,Organization,TheSimpleDollar.com,4850,,TSD Volume,06-16-2016
6181,RMI,Best Homeowners Insurance - Reviews,REV_HomeOwnerInsurance_REwFB,REV_HomeOwnerInsurance_REwFB,http://www.stevemichaelshomes.com/housing-maintenance-tips/,http://www.stevemichaelshomes.com,http://www.stevemichaelshomes.com,0,0,HOME OWNERS INSURANCE,partial,http://www.reviews.com/homeowners-insurance/,internal,blogroll,08-08-2016,07-22-2016,Misc,Reviews.com,4947,y,Reviews High Value,07-22-2016
6182,RMI,Disability Benefit Guide,TSD_DisabiltiesCalc_E_S39FB,TSD_DisabiltiesCalc_E_S39FB,http://cutlerbay-fl.gov/departments/administrative-services-/human-resources/title-vi,http://cutlerbay-fl.gov/,,0,0,2016 Social Security Disability Benefit Guide - The Simple Dollar,misc,http://www.thesimpledollar.com/disability-benefits-guide/,internal,Bottom,08-09-2016,07-22-2016,.GOV,TheSimpleDollar.com,4948,y,TSD Volume,07-22-2016
6183,RMI,Disability Benefit Guide,TSD_DisabiltiesCalc_B_S39FB,TSD_DisabiltiesCalc_B_S39FB,http://www.independencenorthwest.org/index.php/resources/social-security-disability-information,http://www.independencenorthwest.org,http://www.independencenorthwest.org/index.php/resources/social-security-disability-information,0,0,http://www.thesimpledollar.com/disability-benefits-guide/,URL,thesimpledollar.com/disability-benefits-guide,Internal,Bottom,08-10-2016,06-23-2016,Organization,TheSimpleDollar.com,4851,y,TSD Volume,06-23-2016
